resolution_code,res_key,vote_id,vote_date
A/RES/34/92B,R/34/92B,1981,1979-12-03
A/RES/34/92C,R/34/92C,1982,1979-12-03
A/RES/34/92F,R/34/92F,1983,1979-12-03
A/RES/34/92G,R/34/92G,1984,1979-12-03
A/RES/34/93A,R/34/93A,1985,1979-12-03
A/RES/34/93C,R/34/93C,1986,1979-12-03
A/RES/34/93D,R/34/93D,1987,1979-12-03
A/RES/34/93E,R/34/93E,1988,1979-12-03
A/RES/34/93F,R/34/93F,1989,1979-12-03
A/RES/34/93I,R/34/93I,1990,1979-12-03
A/RES/34/93J,R/34/93J,1991,1979-12-03
A/RES/34/93L,R/34/93L,1992,1979-12-03
A/RES/34/93N,R/34/93N,1993,1979-12-03
A/RES/34/93P,R/34/93P,1994,1979-12-03
A/RES/34/93Q,R/34/93Q,1995,1979-12-03
A/RES/34/93R,R/34/93R,1996,1979-12-01
A/RES/34/94,R/34/94,1997,1979-12-04
A/RES/34/95,R/34/95,1998,1979-12-04
A/RES/34/9B,R/34/9B,2064,1979-12-01
A/RES/34/9C,R/34/9C,2065,1979-12-01
A/RES/34/9D,R/34/9D,2066,1979-12-01
A/RES/34/9E,R/34/9E,2067,1979-12-01
A/RES/35/10B,R/35/10B,2179,1980-11-01
A/RES/35/113,R/35/113,2183,1980-12-05
A/RES/35/115A,R/35/115A,2184,1980-12-05
A/RES/35/115B,R/35/115B,2185,1980-12-05
A/RES/35/118,R/35/118,2098,1980-12-06
A/RES/35/119,R/35/119,2099,1980-12-06
A/RES/35/120,R/35/120,2100,1980-12-06
A/RES/35/122A,R/35/122A,2151,1980-12-06
A/RES/35/122B,R/35/122B,2152,1980-12-06
A/RES/35/122C,R/35/122C,2153,1980-12-06
A/RES/35/122D,R/35/122D,2154,1980-12-06
A/RES/35/122E,R/35/122E,2155,1980-12-06
A/RES/35/122F,R/35/122F,2156,1980-12-06
A/RES/35/123,R/35/123,2157,1980-12-06
A/RES/35/124,R/35/124,2158,1980-12-06
A/RES/35/130A,R/35/130A,2164,1980-12-06
A/RES/35/130B,R/35/130B,2165,1980-12-06
A/RES/35/136,R/35/136,2166,1980-12-06
A/RES/35/13A,R/35/13A,2147,1980-11-01
A/RES/35/13B,R/35/13B,2148,1980-11-01
A/RES/35/13E,R/35/13E,2149,1980-11-01
A/RES/35/13F,R/35/13F,2150,1980-11-01
A/RES/35/142B,R/35/142B,2123,1980-12-07
A/RES/35/143,R/35/143,2124,1980-12-07
A/RES/35/144C,R/35/144C,2125,1980-12-07
A/RES/35/145A,R/35/145A,2126,1980-12-07
A/RES/35/145B,R/35/145B,2127,1980-12-07
A/RES/35/146A,R/35/146A,2128,1980-12-07
A/RES/35/146B,R/35/146B,2129,1980-12-07
A/RES/35/148,R/35/148,2130,1980-12-07
A/RES/35/149,R/35/149,2131,1980-12-07
A/RES/35/152B,R/35/152B,2132,1980-12-07
A/RES/35/152C,R/35/152C,2133,1980-12-07
A/RES/35/152D,R/35/152D,2134,1980-12-07
A/RES/35/152G,R/35/152G,2135,1980-12-07
A/RES/35/152I,R/35/152I,2136,1980-12-07
A/RES/35/152J,R/35/152J,2137,1980-12-07
A/RES/35/154,R/35/154,2138,1980-12-07
A/RES/35/155,R/35/155,2139,1980-12-07
A/RES/35/156A,R/35/156A,2140,1980-12-07
A/RES/35/156C,R/35/156C,2141,1980-12-07
A/RES/35/156F,R/35/156F,2142,1980-12-07
A/RES/35/156H,R/35/156H,2143,1980-12-07
A/RES/35/156I,R/35/156I,2144,1980-12-07
A/RES/35/157,R/35/157,2145,1980-12-07
A/RES/35/158,R/35/158,2146,1980-12-07
A/RES/35/159,R/35/159,2101,1980-12-07
A/RES/35/164,R/35/164,2194,1980-12-03
A/RES/35/166,R/35/166,2195,1980-12-03
A/RES/35/167,R/35/167,2196,1980-12-03
A/RES/35/169A,R/35/169A,2102,1980-12-03
A/RES/35/169B,R/35/169B,2103,1980-12-03
A/RES/35/169C,R/35/169C,2104,1980-12-03
A/RES/35/169D,R/35/169D,2105,1980-12-03
A/RES/35/169E,R/35/169E,2106,1980-12-03
A/RES/35/174,R/35/174,2167,1980-12-03
A/RES/35/185,R/35/185,2168,1980-12-03
A/RES/35/188,R/35/188,2169,1980-12-03
A/RES/35/190,R/35/190,2170,1980-12-03
A/RES/35/192,R/35/192,2171,1980-12-03
A/RES/35/198,R/35/198,2172,1980-12-03
A/RES/35/20,R/35/20,2174,1980-11-02
A/RES/35/200,R/35/200,2173,1980-12-03
A/RES/35/206A,R/35/206A,2107,1980-12-04
A/RES/35/206B,R/35/206B,2108,1980-12-04
A/RES/35/206C,R/35/206C,2109,1980-12-04
A/RES/35/206D,R/35/206D,2110,1980-12-04
A/RES/35/206E,R/35/206E,2111,1980-12-04
A/RES/35/206F,R/35/206F,2112,1980-12-04
A/RES/35/206G,R/35/206G,2113,1980-12-04
A/RES/35/206H,R/35/206H,2114,1980-12-04
A/RES/35/206I,R/35/206I,2115,1980-12-04
A/RES/35/206J,R/35/206J,2116,1980-12-04
A/RES/35/206M,R/35/206M,2117,1980-12-04
A/RES/35/206N,R/35/206N,2118,1980-12-04
A/RES/35/206O,R/35/206O,2119,1980-12-04
A/RES/35/206P,R/35/206P,2120,1980-12-04
A/RES/35/206Q,R/35/206Q,2121,1980-12-04
A/RES/35/207,R/35/207,2122,1980-12-04
A/RES/35/213,R/35/213,2186,1980-12-05
A/RES/35/214A,R/35/214A,2187,1980-12-05
A/RES/35/218,R/35/218,2189,1980-12-05
A/RES/35/222,R/35/222,2191,1980-12-05
A/RES/35/225,R/35/225,2192,1980-12-05
A/RES/35/26,R/35/26,2175,1980-11-02
A/RES/35/27,R/35/27,2176,1980-11-02
A/RES/35/28,R/35/28,2177,1980-11-02
A/RES/35/29,R/35/29,2178,1980-11-02
A/RES/35/37,R/35/37,2096,1980-11-04
