ms_code,year,votes_strict,agree_usa_strict,agree_chn_strict,votes_loose,agree_usa_loose,agree_chn_loose
IDN,1978,59,0.6779661016949152,0.9384615384615385,101,0.43564356435643564,0.8970588235294118
IDN,1979,93,0.3978494623655914,0.991304347826087,145,0.27586206896551724,0.9344262295081968
IDN,1980,68,0.3382352941176471,0.9879518072289156,108,0.2222222222222222,0.9120879120879121
IDN,1981,90,0.24444444444444444,0.9915254237288136,143,0.15384615384615385,0.9291338582677166
IDN,1982,122,0.20491803278688525,0.9848484848484849,166,0.15060240963855423,0.8783783783783784
IDN,1983,105,0.22857142857142856,0.991304347826087,145,0.1724137931034483,0.8712121212121212
IDN,1984,106,0.16037735849056603,1.0,144,0.125,0.8652482269503546
IDN,1985,111,0.17117117117117117,1.0,151,0.1456953642384106,0.8322147651006712
IDN,1986,112,0.16071428571428573,1.0,151,0.12582781456953643,0.86
IDN,1987,98,0.15306122448979592,1.0,138,0.13043478260869565,0.8740740740740741
IDN,1988,96,0.09375,1.0,134,0.08955223880597014,0.916030534351145
IDN,1989,82,0.10975609756097561,1.0,114,0.08771929824561403,0.9375
IDN,1990,66,0.16666666666666666,0.9871794871794872,84,0.13095238095238096,0.9166666666666666
IDN,1991,52,0.09615384615384616,1.0,70,0.07142857142857142,0.9411764705882353
IDN,1992,55,0.18181818181818182,1.0,74,0.13513513513513514,0.8873239436619719
IDN,1993,46,0.17391304347826086,1.0,64,0.125,0.9193548387096774
IDN,1994,54,0.2962962962962963,1.0,68,0.23529411764705882,0.8787878787878788
IDN,1995,62,0.20967741935483872,0.96875,77,0.16883116883116883,0.8513513513513513
IDN,1996,58,0.29310344827586204,1.0,74,0.22972972972972974,0.8513513513513513
IDN,1997,57,0.24561403508771928,0.9841269841269841,73,0.1917808219178082,0.863013698630137
IDN,1998,51,0.2549019607843137,1.0,63,0.20634920634920634,0.8225806451612904
IDN,1999,54,0.24074074074074073,1.0,68,0.19117647058823528,0.8235294117647058
IDN,2000,52,0.25,1.0,67,0.19402985074626866,0.8955223880597015
IDN,2001,52,0.1346153846153846,1.0,67,0.1044776119402985,0.9104477611940298
IDN,2002,63,0.12698412698412698,1.0,76,0.11842105263157894,0.92
IDN,2003,68,0.14705882352941177,1.0,77,0.14285714285714285,0.9078947368421053
IDN,2004,61,0.08196721311475409,1.0,73,0.0821917808219178,0.9305555555555556
IDN,2005,63,0.07936507936507936,1.0,73,0.0821917808219178,0.9041095890410958
IDN,2006,78,0.07692307692307693,1.0,101,0.07920792079207921,0.9595959595959596
IDN,2007,68,0.058823529411764705,1.0,79,0.05063291139240506,0.9230769230769231
IDN,2008,67,0.08955223880597014,1.0,78,0.08974358974358974,0.8947368421052632
IDN,2009,54,0.14814814814814814,1.0,68,0.11764705882352941,0.8970588235294118
IDN,2010,55,0.14545454545454545,1.0,72,0.125,0.9577464788732394
IDN,2011,52,0.19230769230769232,1.0,68,0.14705882352941177,0.8405797101449275
IDN,2012,59,0.2033898305084746,0.9491525423728814,74,0.17567567567567569,0.8194444444444444
IDN,2013,52,0.15384615384615385,0.9814814814814815,64,0.125,0.859375
IDN,2014,64,0.203125,0.9848484848484849,79,0.16455696202531644,0.8717948717948718
IDN,2015,63,0.19047619047619047,0.9516129032258065,78,0.15384615384615385,0.7792207792207793
IDN,2016,62,0.22580645161290322,0.9354838709677419,81,0.1728395061728395,0.7625
IDN,2017,78,0.15384615384615385,0.9506172839506173,94,0.13829787234042554,0.8404255319148937
IDN,2018,88,0.125,0.9318181818181818,107,0.11214953271028037,0.8380952380952381
IDN,2019,84,0.15476190476190477,0.9285714285714286,100,0.13,0.8163265306122449
IDN,2020,81,0.14814814814814814,0.9156626506024096,100,0.12,0.8061224489795918
IDN,2021,69,0.21739130434782608,0.9178082191780822,85,0.17647058823529413,0.7906976744186046
IDN,2022,68,0.29411764705882354,0.9264705882352942,89,0.2247191011235955,0.75
IDN,2023,68,0.2647058823529412,0.9242424242424242,88,0.20454545454545456,0.7471264367816092
IDN,2024,72,0.2777777777777778,0.9315068493150684,94,0.2127659574468085,0.776595744680851
IDN,2025,20,0.05,1.0,22,0.045454545454545456,0.7727272727272727
IND,1946,13,0.7692307692307693,1.0,26,0.38461538461538464,0.5
IND,1947,11,0.2727272727272727,0.4,13,0.23076923076923078,0.3076923076923077
IND,1948,14,1.0,1.0,16,0.875,0.8125
IND,1949,10,0.7,0.9166666666666666,17,0.4117647058823529,0.7647058823529411
IND,1950,15,0.8666666666666667,0.8571428571428571,18,0.7222222222222222,0.6666666666666666
IND,1951,3,0.6666666666666666,0.6666666666666666,5,0.4,0.4
IND,1952,20,0.7,0.8666666666666667,28,0.5,0.5
IND,1953,6,0.8333333333333334,0.8333333333333334,10,0.5,0.5
IND,1954,8,0.75,0.8,12,0.5,0.45454545454545453
IND,1955,3,0.0,0.25,6,0.0,0.16666666666666666
IND,1956,19,0.8947368421052632,0.8823529411764706,24,0.7083333333333334,0.625
IND,1957,16,0.875,0.8666666666666667,27,0.5185185185185185,0.48148148148148145
IND,1958,8,0.875,0.8571428571428571,14,0.5,0.42857142857142855
IND,1959,11,0.8181818181818182,0.875,18,0.5,0.3888888888888889
IND,1960,7,0.5714285714285714,0.6666666666666666,17,0.23529411764705882,0.35294117647058826
IND,1961,23,0.8695652173913043,0.8,39,0.5384615384615384,0.5128205128205128
IND,1962,14,0.7142857142857143,1.0,17,0.5882352941176471,0.8235294117647058
IND,1963,15,0.8,0.9523809523809523,23,0.5217391304347826,0.8695652173913043
IND,1965,19,0.631578947368421,0.9090909090909091,28,0.42857142857142855,0.7777777777777778
IND,1966,15,0.6,0.8333333333333334,26,0.34615384615384615,0.6153846153846154
IND,1967,11,0.45454545454545453,0.8947368421052632,27,0.2962962962962963,0.6296296296296297
IND,1968,14,0.5,0.8421052631578947,26,0.3076923076923077,0.68
IND,1969,21,0.5238095238095238,0.9166666666666666,33,0.36363636363636365,0.696969696969697
IND,1970,25,0.48,0.9354838709677419,39,0.3076923076923077,0.7692307692307693
IND,1971,54,0.7037037037037037,0.9166666666666666,78,0.5256410256410257,0.8148148148148148
IND,1972,48,0.7083333333333334,0.9811320754716981,81,0.4444444444444444,0.8688524590163934
IND,1973,38,0.6052631578947368,0.9230769230769231,73,0.3561643835616438,0.8771929824561403
IND,1974,26,0.38461538461538464,0.9230769230769231,54,0.2222222222222222,0.8181818181818182
IND,1975,38,0.5,0.8863636363636364,72,0.2638888888888889,0.7959183673469388
IND,1976,46,0.41304347826086957,0.9016393442622951,87,0.22988505747126436,0.7857142857142857
IND,1977,53,0.6415094339622641,0.9193548387096774,92,0.3804347826086957,0.8636363636363636
IND,1978,58,0.6724137931034483,0.921875,101,0.40594059405940597,0.8676470588235294
IND,1979,92,0.3695652173913043,0.9734513274336283,144,0.25,0.9166666666666666
IND,1980,63,0.2698412698412698,0.9615384615384616,107,0.16822429906542055,0.8444444444444444
IND,1981,83,0.18072289156626506,0.9819819819819819,143,0.1258741258741259,0.8661417322834646
IND,1982,116,0.16379310344827586,0.9689922480620154,166,0.12650602409638553,0.8648648648648649
IND,1983,94,0.1595744680851064,0.9646017699115044,147,0.1292517006802721,0.8656716417910447
IND,1984,97,0.08247422680412371,0.9823008849557522,145,0.0896551724137931,0.8439716312056738
IND,1985,101,0.10891089108910891,0.9831932773109243,152,0.09868421052631579,0.8378378378378378
IND,1986,106,0.12264150943396226,0.9836065573770492,152,0.11842105263157894,0.8456375838926175
IND,1987,93,0.11827956989247312,0.9827586206896551,140,0.12142857142857143,0.8676470588235294
IND,1988,91,0.07692307692307693,0.9912280701754386,133,0.09022556390977443,0.9069767441860465
IND,1989,75,0.05333333333333334,0.9897959183673469,114,0.07017543859649122,0.9009009009009009
IND,1990,63,0.14285714285714285,0.9868421052631579,84,0.11904761904761904,0.9166666666666666
IND,1991,52,0.1346153846153846,0.9833333333333333,68,0.10294117647058823,0.9090909090909091
IND,1992,52,0.15384615384615385,0.9672131147540983,74,0.12162162162162163,0.8732394366197183
IND,1993,42,0.09523809523809523,0.9807692307692307,63,0.06349206349206349,0.9016393442622951
IND,1994,45,0.15555555555555556,0.98,68,0.11764705882352941,0.803030303030303
IND,1995,58,0.1206896551724138,0.967741935483871,80,0.1,0.8181818181818182
IND,1996,54,0.2037037037037037,0.95,76,0.15789473684210525,0.7894736842105263
IND,1997,52,0.17307692307692307,0.9666666666666667,73,0.136986301369863,0.8493150684931506
IND,1998,43,0.16279069767441862,0.9555555555555556,63,0.12698412698412698,0.7741935483870968
IND,1999,49,0.20408163265306123,0.9807692307692307,69,0.15942028985507245,0.8115942028985508
IND,2000,48,0.16666666666666666,0.9444444444444444,68,0.14705882352941177,0.7941176470588235
IND,2001,49,0.14285714285714285,0.9636363636363636,67,0.11940298507462686,0.835820895522388
IND,2002,57,0.17543859649122806,0.9672131147540983,76,0.15789473684210525,0.84
IND,2003,59,0.1694915254237288,0.9354838709677419,77,0.14285714285714285,0.8026315789473685
IND,2004,56,0.10714285714285714,0.9830508474576272,73,0.1095890410958904,0.8333333333333334
IND,2005,56,0.125,0.9655172413793104,74,0.10810810810810811,0.7837837837837838
IND,2006,69,0.08695652173913043,0.9764705882352941,100,0.09,0.8673469387755102
IND,2007,63,0.09523809523809523,0.9701492537313433,79,0.08860759493670886,0.8461538461538461
IND,2008,62,0.12903225806451613,0.9666666666666667,77,0.11688311688311688,0.7866666666666666
IND,2009,50,0.12,0.9642857142857143,68,0.10294117647058823,0.8235294117647058
IND,2010,48,0.125,0.9655172413793104,72,0.09722222222222222,0.8309859154929577
IND,2011,50,0.2,0.9642857142857143,68,0.16176470588235295,0.855072463768116
IND,2012,53,0.18867924528301888,0.9636363636363636,74,0.14864864864864866,0.8055555555555556
IND,2013,47,0.1276595744680851,0.98,64,0.109375,0.828125
IND,2014,58,0.1724137931034483,0.9836065573770492,78,0.14102564102564102,0.8311688311688312
IND,2015,55,0.2,0.9642857142857143,78,0.1794871794871795,0.7792207792207793
IND,2016,57,0.24561403508771928,0.9649122807017544,80,0.2,0.759493670886076
IND,2017,74,0.16216216216216217,0.9736842105263158,94,0.1702127659574468,0.8297872340425532
IND,2018,87,0.1724137931034483,0.9634146341463414,107,0.18691588785046728,0.8
IND,2019,81,0.18518518518518517,0.9620253164556962,100,0.19,0.8163265306122449
IND,2020,76,0.19736842105263158,0.96,100,0.18,0.7653061224489796
IND,2021,58,0.22413793103448276,0.9354838709677419,84,0.19047619047619047,0.7294117647058823
IND,2022,58,0.3103448275862069,0.9298245614035088,89,0.2247191011235955,0.6477272727272727
IND,2023,60,0.2833333333333333,0.9137931034482759,87,0.22988505747126436,0.6976744186046512
IND,2024,62,0.3225806451612903,0.95,94,0.24468085106382978,0.6702127659574468
IND,2025,14,0.0,1.0,22,0.045454545454545456,0.9090909090909091
PHL,1946,24,0.9166666666666666,1.0,24,0.9166666666666666,0.9166666666666666
PHL,1947,11,0.9090909090909091,0.9,12,0.8333333333333334,0.75
PHL,1948,15,0.9333333333333333,0.9333333333333333,16,0.875,0.9375
PHL,1949,14,0.8571428571428571,1.0,17,0.7058823529411765,0.8235294117647058
PHL,1950,17,0.8823529411764706,1.0,18,0.8888888888888888,0.8333333333333334
PHL,1951,5,1.0,1.0,5,1.0,1.0
PHL,1952,21,0.7142857142857143,0.9375,28,0.5357142857142857,0.5714285714285714
PHL,1953,9,1.0,1.0,11,0.8181818181818182,0.8181818181818182
PHL,1954,11,0.8181818181818182,1.0,12,0.75,0.6363636363636364
PHL,1955,5,0.8,0.8333333333333334,6,0.6666666666666666,0.8333333333333334
PHL,1956,22,1.0,1.0,22,1.0,0.9090909090909091
PHL,1957,23,0.9565217391304348,1.0,26,0.9230769230769231,0.7692307692307693
PHL,1958,11,1.0,1.0,14,0.7857142857142857,0.8571428571428571
PHL,1959,15,0.9333333333333333,1.0,18,0.7777777777777778,0.6666666666666666
PHL,1960,7,0.8571428571428571,0.8888888888888888,17,0.4117647058823529,0.5294117647058824
PHL,1961,27,0.9629629629629629,0.9130434782608695,38,0.7368421052631579,0.6578947368421053
PHL,1962,14,0.7142857142857143,1.0,17,0.5882352941176471,0.8235294117647058
PHL,1963,14,0.9285714285714286,1.0,22,0.5909090909090909,0.9545454545454546
PHL,1965,17,0.8235294117647058,1.0,28,0.5,0.9259259259259259
PHL,1966,17,0.7647058823529411,1.0,26,0.5,0.7307692307692307
PHL,1967,14,0.6428571428571429,0.9583333333333334,27,0.4074074074074074,0.8888888888888888
PHL,1968,17,0.5882352941176471,0.9047619047619048,27,0.4074074074074074,0.7692307692307693
PHL,1969,19,0.631578947368421,1.0,32,0.40625,0.78125
PHL,1970,25,0.64,1.0,39,0.41025641025641024,0.8205128205128205
PHL,1971,51,0.7843137254901961,0.9047619047619048,76,0.5789473684210527,0.7307692307692307
PHL,1972,47,0.7872340425531915,0.8823529411764706,80,0.525,0.7833333333333333
PHL,1973,40,0.625,0.9074074074074074,72,0.3472222222222222,0.875
PHL,1974,29,0.5172413793103449,0.8809523809523809,56,0.30357142857142855,0.8260869565217391
PHL,1975,39,0.5384615384615384,0.8372093023255814,72,0.3055555555555556,0.7346938775510204
PHL,1976,47,0.44680851063829785,0.8888888888888888,88,0.25,0.8
PHL,1977,52,0.6923076923076923,0.90625,92,0.391304347826087,0.8787878787878788
PHL,1978,59,0.711864406779661,0.9375,100,0.45,0.8955223880597015
PHL,1979,94,0.4148936170212766,0.9914529914529915,146,0.273972602739726,0.9512195121951219
PHL,1980,70,0.35714285714285715,0.9880952380952381,108,0.23148148148148148,0.9230769230769231
PHL,1981,88,0.25,0.9915254237288136,141,0.15602836879432624,0.9291338582677166
PHL,1982,109,0.23853211009174313,0.9844961240310077,164,0.15853658536585366,0.8904109589041096
PHL,1983,93,0.27956989247311825,0.990990990990991,145,0.18620689655172415,0.8636363636363636
PHL,1984,92,0.16304347826086957,1.0,138,0.12318840579710146,0.9124087591240876
PHL,1985,101,0.21782178217821782,0.9915966386554622,140,0.17857142857142858,0.8913043478260869
PHL,1986,117,0.21367521367521367,1.0,152,0.16447368421052633,0.8609271523178808
PHL,1987,95,0.16842105263157894,1.0,136,0.125,0.8947368421052632
PHL,1988,94,0.1276595744680851,1.0,132,0.09090909090909091,0.9147286821705426
PHL,1989,82,0.12195121951219512,0.9903846153846154,115,0.09565217391304348,0.9203539823008849
PHL,1990,67,0.1791044776119403,0.9873417721518988,84,0.14285714285714285,0.9285714285714286
PHL,1991,55,0.16363636363636364,1.0,69,0.13043478260869565,0.9411764705882353
PHL,1992,52,0.19230769230769232,1.0,74,0.14864864864864866,0.8591549295774648
PHL,1993,42,0.19047619047619047,1.0,64,0.125,0.8870967741935484
PHL,1994,50,0.34,1.0,68,0.25,0.8484848484848485
PHL,1995,63,0.2857142857142857,0.9545454545454546,80,0.225,0.8441558441558441
PHL,1996,56,0.35714285714285715,1.0,75,0.26666666666666666,0.8533333333333334
PHL,1997,54,0.24074074074074073,0.9838709677419355,73,0.1780821917808219,0.8767123287671232
PHL,1998,50,0.24,1.0,63,0.19047619047619047,0.8387096774193549
PHL,1999,53,0.24528301886792453,1.0,68,0.20588235294117646,0.7941176470588235
PHL,2000,50,0.26,1.0,67,0.208955223880597,0.8507462686567164
PHL,2001,50,0.16,1.0,68,0.1323529411764706,0.8529411764705882
PHL,2002,61,0.14754098360655737,1.0,76,0.13157894736842105,0.8933333333333333
PHL,2003,65,0.15384615384615385,1.0,77,0.12987012987012986,0.881578947368421
PHL,2004,59,0.11864406779661017,1.0,72,0.1111111111111111,0.8873239436619719
PHL,2005,61,0.14754098360655737,0.9682539682539683,72,0.125,0.8611111111111112
PHL,2006,72,0.09722222222222222,0.9887640449438202,99,0.09090909090909091,0.9081632653061225
PHL,2007,65,0.06153846153846154,0.9855072463768116,79,0.05063291139240506,0.8717948717948718
PHL,2008,62,0.0967741935483871,0.9838709677419355,76,0.07894736842105263,0.8513513513513513
PHL,2009,52,0.17307692307692307,1.0,66,0.13636363636363635,0.8939393939393939
PHL,2010,51,0.13725490196078433,0.9830508474576272,69,0.10144927536231885,0.8676470588235294
PHL,2011,54,0.25925925925925924,0.9827586206896551,68,0.20588235294117646,0.855072463768116
PHL,2012,57,0.19298245614035087,0.9818181818181818,71,0.15492957746478872,0.7971014492753623
PHL,2013,52,0.19230769230769232,1.0,63,0.15873015873015872,0.8571428571428571
PHL,2014,63,0.25396825396825395,0.9682539682539683,76,0.21052631578947367,0.8266666666666667
PHL,2015,64,0.234375,0.9365079365079365,78,0.19230769230769232,0.7792207792207793
PHL,2016,63,0.2698412698412698,0.9672131147540983,81,0.20987654320987653,0.75
PHL,2017,81,0.16049382716049382,0.9518072289156626,94,0.13829787234042554,0.8404255319148937
PHL,2018,87,0.1724137931034483,0.9285714285714286,107,0.14018691588785046,0.7619047619047619
PHL,2019,85,0.16470588235294117,0.9397590361445783,100,0.15,0.8061224489795918
PHL,2020,87,0.1839080459770115,0.9069767441860465,100,0.16,0.7959183673469388
PHL,2021,73,0.273972602739726,0.881578947368421,85,0.23529411764705882,0.7906976744186046
PHL,2022,73,0.3835616438356164,0.8571428571428571,88,0.32954545454545453,0.6896551724137931
PHL,2023,71,0.3380281690140845,0.8939393939393939,87,0.27586206896551724,0.6976744186046512
PHL,2024,74,0.35135135135135137,0.9130434782608695,94,0.2978723404255319,0.6808510638297872
PHL,2025,21,0.09523809523809523,1.0,22,0.09090909090909091,0.7272727272727273
