country_iso3,date,gprh_raw
CHN,1941-12-01,272
CHN,1942-01-01,194
CHN,1942-02-01,149
CHN,1942-03-01,155
CHN,1942-04-01,123
CHN,1942-05-01,141
CHN,1942-06-01,124
CHN,1942-07-01,97
CHN,1942-08-01,95
CHN,1942-09-01,68
CHN,1942-10-01,85
CHN,1942-11-01,56
CHN,1942-12-01,79
CHN,1943-01-01,74
CHN,1943-02-01,68
CHN,1943-03-01,113
CHN,1943-04-01,100
CHN,1943-05-01,125
CHN,1943-06-01,92
CHN,1943-07-01,75
CHN,1943-08-01,74
CHN,1943-09-01,95
CHN,1943-10-01,99
CHN,1943-11-01,102
CHN,1943-12-01,109
CHN,1944-01-01,66
CHN,1944-02-01,97
CHN,1944-03-01,95
CHN,1944-04-01,150
CHN,1944-05-01,183
CHN,1944-06-01,176
CHN,1944-07-01,177
CHN,1944-08-01,117
CHN,1944-09-01,109
CHN,1944-10-01,144
CHN,1944-11-01,175
CHN,1944-12-01,104
CHN,1945-01-01,137
CHN,1945-02-01,115
CHN,1945-03-01,128
CHN,1945-04-01,115
CHN,1945-05-01,136
CHN,1945-06-01,160
CHN,1945-07-01,163
CHN,1945-08-01,214
CHN,1945-09-01,82
CHN,1945-10-01,81
CHN,1945-11-01,84
CHN,1945-12-01,81
CHN,1946-01-01,80
CHN,1946-02-01,49
CHN,1946-03-01,82
CHN,1946-04-01,75
CHN,1946-05-01,51
CHN,1946-06-01,61
CHN,1946-07-01,65
CHN,1946-08-01,83
CHN,1946-09-01,74
CHN,1946-10-01,54
CHN,1946-11-01,48
CHN,1946-12-01,71
CHN,1947-01-01,45
CHN,1947-02-01,28
CHN,1947-03-01,51
CHN,1947-04-01,41
CHN,1947-05-01,33
CHN,1947-06-01,38
CHN,1947-07-01,46
CHN,1947-08-01,31
CHN,1947-09-01,22
CHN,1947-10-01,36
CHN,1947-11-01,33
CHN,1947-12-01,35
CHN,1948-01-01,20
CHN,1948-02-01,31
CHN,1948-03-01,80
CHN,1948-04-01,28
CHN,1948-05-01,27
CHN,1948-06-01,28
CHN,1948-07-01,39
CHN,1948-08-01,28
CHN,1948-09-01,23
CHN,1948-10-01,55
CHN,1948-11-01,54
CHN,1948-12-01,55
CHN,1949-01-01,59
CHN,1949-02-01,19
CHN,1949-03-01,25
CHN,1949-04-01,60
CHN,1949-05-01,56
CHN,1949-06-01,40
CHN,1949-07-01,37
CHN,1949-08-01,60
CHN,1949-09-01,49
CHN,1949-10-01,68
CHN,1949-11-01,43
CHN,1949-12-01,52
CHN,1950-01-01,78
CHN,1950-02-01,67
CHN,1950-03-01,51
CHN,1950-04-01,55
CHN,1950-05-01,71
CHN,1950-06-01,95
CHN,1950-07-01,151
CHN,1950-08-01,108
CHN,1950-09-01,108
CHN,1950-10-01,118
CHN,1950-11-01,256
CHN,1950-12-01,395
CHN,1951-01-01,312
CHN,1951-02-01,182
CHN,1951-03-01,166
CHN,1951-04-01,241
CHN,1951-05-01,354
CHN,1951-06-01,214
CHN,1951-07-01,161
CHN,1951-08-01,128
CHN,1951-09-01,128
CHN,1951-10-01,143
CHN,1951-11-01,135
CHN,1951-12-01,103
CHN,1952-01-01,149
CHN,1952-02-01,84
CHN,1952-03-01,107
CHN,1952-04-01,66
CHN,1952-05-01,97
CHN,1952-06-01,118
CHN,1952-07-01,84
CHN,1952-08-01,96
CHN,1952-09-01,87
CHN,1952-10-01,166
CHN,1952-11-01,161
CHN,1952-12-01,134
CHN,1953-01-01,121
CHN,1953-02-01,217
CHN,1953-03-01,145
CHN,1953-04-01,156
CHN,1953-05-01,187
CHN,1953-06-01,158
CHN,1953-07-01,155
CHN,1953-08-01,88
CHN,1953-09-01,96
CHN,1953-10-01,70
CHN,1953-11-01,40
CHN,1953-12-01,100
CHN,1954-01-01,79
CHN,1954-02-01,85
CHN,1954-03-01,98
CHN,1954-04-01,171
CHN,1954-05-01,109
CHN,1954-06-01,83
CHN,1954-07-01,105
CHN,1954-08-01,67
CHN,1954-09-01,81
CHN,1954-10-01,40
CHN,1954-11-01,80
CHN,1954-12-01,88
CHN,1955-01-01,118
CHN,1955-02-01,153
CHN,1955-03-01,127
CHN,1955-04-01,110
CHN,1955-05-01,77
CHN,1955-06-01,66
CHN,1955-07-01,47
CHN,1955-08-01,50
CHN,1955-09-01,20
CHN,1955-10-01,27
CHN,1955-11-01,33
CHN,1955-12-01,35
CHN,1956-01-01,79
CHN,1956-02-01,51
CHN,1956-03-01,34
CHN,1956-04-01,40
CHN,1956-05-01,45
CHN,1956-06-01,34
CHN,1956-07-01,38
CHN,1956-08-01,46
CHN,1956-09-01,35
CHN,1956-10-01,16
CHN,1956-11-01,57
CHN,1956-12-01,30
CHN,1957-01-01,33
CHN,1957-02-01,25
CHN,1957-03-01,27
CHN,1957-04-01,30
CHN,1957-05-01,58
CHN,1957-06-01,56
CHN,1957-07-01,38
CHN,1957-08-01,26
CHN,1957-09-01,17
CHN,1957-10-01,33
CHN,1957-11-01,22
CHN,1957-12-01,21
CHN,1958-01-01,21
CHN,1958-02-01,28
CHN,1958-03-01,19
CHN,1958-04-01,25
CHN,1958-05-01,40
CHN,1958-06-01,19
CHN,1958-07-01,58
CHN,1958-08-01,114
CHN,1958-09-01,250
CHN,1958-10-01,126
CHN,1958-11-01,48
CHN,1958-12-01,24
CHN,1959-01-01,28
CHN,1959-02-01,14
CHN,1959-03-01,29
CHN,1959-04-01,29
CHN,1959-05-01,25
CHN,1959-06-01,23
CHN,1959-07-01,23
CHN,1959-08-01,57
CHN,1959-09-01,65
CHN,1959-10-01,53
CHN,1959-11-01,55
CHN,1959-12-01,29
CHN,1960-01-01,20
CHN,1960-02-01,24
CHN,1960-03-01,22
CHN,1960-04-01,43
CHN,1960-05-01,52
CHN,1960-06-01,81
CHN,1960-07-01,41
CHN,1960-08-01,52
CHN,1960-09-01,70
CHN,1960-10-01,67
CHN,1960-11-01,55
CHN,1960-12-01,47
CHN,1961-01-01,70
CHN,1961-02-01,34
CHN,1961-03-01,71
CHN,1961-04-01,60
CHN,1961-05-01,69
CHN,1961-06-01,57
CHN,1961-07-01,38
CHN,1961-08-01,39
CHN,1961-09-01,53
CHN,1961-10-01,48
CHN,1961-11-01,37
CHN,1961-12-01,64
CHN,1962-01-01,46
CHN,1962-02-01,47
CHN,1962-03-01,70
CHN,1962-04-01,43
CHN,1962-05-01,69
CHN,1962-06-01,61
CHN,1962-07-01,54
CHN,1962-08-01,23
CHN,1962-09-01,65
CHN,1962-10-01,130
CHN,1962-11-01,176
CHN,1962-12-01,105
CHN,1963-01-01,76
CHN,1963-02-01,40
CHN,1963-03-01,49
CHN,1963-04-01,60
CHN,1963-05-01,51
CHN,1963-06-01,67
CHN,1963-07-01,182
CHN,1963-08-01,145
CHN,1963-09-01,122
CHN,1963-10-01,72
CHN,1963-11-01,58
CHN,1963-12-01,69
CHN,1964-01-01,93
CHN,1964-02-01,60
CHN,1964-03-01,60
CHN,1964-04-01,69
CHN,1964-05-01,84
CHN,1964-06-01,113
CHN,1964-07-01,91
CHN,1964-08-01,131
CHN,1964-09-01,63
CHN,1964-10-01,145
CHN,1964-11-01,76
CHN,1964-12-01,84
CHN,1965-01-01,72
CHN,1965-02-01,118
CHN,1965-03-01,92
CHN,1965-04-01,110
CHN,1965-05-01,99
CHN,1965-06-01,104
CHN,1965-07-01,105
CHN,1965-08-01,102
CHN,1965-09-01,212
CHN,1965-10-01,102
CHN,1965-11-01,80
CHN,1965-12-01,114
CHN,1966-01-01,124
CHN,1966-02-01,133
CHN,1966-03-01,119
